search_string_norm,inventory_search_string,mapped_pos_item_code,mapped_item_name,mapped_category_hierarchy,category_l,category_m,match_type,match_score,search_count,unique_users
커피,커피,122550,커피빈)바닐라라떼원컵,건강/기호식품>원컵>믹스커피,건강/기호식품,원컵,item_startswith_search,90,359,307
오뚜기,오뚜기,140001,오뚜기)3분미트볼150g,가공식품>상온간편식>레토르트 반찬/간식/안주,가공식품,상온간편식,item_startswith_search,90,357,170
피스타치오,피스타치오,128888,PB)테디베어피스타치오라떼250ml,유음료>컵커피>300ml 미만,유음료,컵커피,search_in_item,80,357,190
라퀸타,라퀸타,108365,우진)지오도라퀸타20/21 750ml,양주와인>와인>레드,양주와인,와인,search_in_item,80,354,153
아이코스,아이코스,125734,P)아이코스 일루마i 원(디지털바이올렛),담배>전자담배>전자담배(PMI 아이코스),담배,전자담배,search_in_item,80,354,220
후와토로,후와토로,105770,시원)후와토로리치생초콜릿40g,디저트>냉동디저트>냉동빵,디저트,냉동디저트,search_in_item,80,354,196
잘익은,잘익은,083856,삼립)잘익은찰옥수수이야기110g,빵>간식빵>간식용케익,빵,간식빵,search_in_item,80,353,139
크래커,크래커,105419,7P)블랙페퍼라이스크래커,과자>스낵류>일반스낵,과자,스낵류,search_in_item,80,352,196
빼빼로,빼빼로,128226,빼빼로)말랑이기획,과자>비스킷류>행사상품,과자,비스킷류,item_startswith_search,90,348,240
씨앗호떡빵,씨앗호떡빵,125435,KBO)롯데자이언츠씨앗호떡빵97g,빵>간식빵>캐릭터빵,빵,간식빵,search_in_item,80,348,44
제로,제로,107265,5개 이상 구매시 50% 할인 빙그레)생귤탱귤제로70ml,아이스크림>노벨티>바,아이스크림,노벨티,search_in_item,80,348,245
돈까스,돈까스,105729,11겹등심돈까스,미반>도시락>기타,미반,도시락,search_in_item,80,346,114
왕뚜껑,왕뚜껑,210058,팔도)김치왕뚜껑,면>용기면>라면(대형컵),면,용기면,search_in_item,80,346,151
쑥이야기,쑥이야기,123407,삼립)잘익은참쑥이야기110g,빵>간식빵>간식용케익,빵,간식빵,search_in_item,80,337,166
크림,크림,125812,KBO)롯데자이언츠바다샌드크림빵96g,빵>간식빵>캐릭터빵,빵,간식빵,search_in_item,80,334,214
쫀득,쫀득,126310,MDS)쫀득쫀똑(고구마)60g,디저트>떡>떡,디저트,떡,search_in_item,80,331,131
트리플,트리플,128907,그린)울트라트리플치즈버거,조리빵>햄버거>햄버거,조리빵,햄버거,search_in_item,80,330,173
닭가슴살스테이크,닭가슴살 스테이크,123504,닭가슴살스테이크도시락,미반>도시락>기타,미반,도시락,item_startswith_search,90,328,147
롯데빵,롯데빵,127887,롯데)빵빠레꿀고구마195ml,아이스크림>노벨티>콘,아이스크림,노벨티,item_startswith_search,90,327,163
쇼비뇽,쇼비뇽,126533,1865까버네쇼비뇽(카카오에디션),양주와인>와인>레드,양주와인,와인,search_in_item,80,325,193
언노운,언노운,124779,언노운)드보뀌베D블랑드블랑750ml,양주와인>와인>스파클링(샴페인),양주와인,와인,item_startswith_search,90,323,148
사와,사와,124486,7P)스트롱사와거봉500ml,양주와인>하이볼>수입하이볼,양주와인,하이볼,search_in_item,80,320,170
참치,참치,014339,참치김밥,미반>김밥>말이김밥,미반,김밥,item_startswith_search,90,320,169
bdm,bdm,124510,우진)지오도BDM 18,양주와인>와인>레드,양주와인,와인,search_in_item,80,318,208
look,look,123629,G)LOOK초콜릿(네가지과일)44g,과자>초콜릿>볼초콜릿,과자,초콜릿,search_in_item,80,316,102
바다샌드,바다샌드,125812,KBO)롯데자이언츠바다샌드크림빵96g,빵>간식빵>캐릭터빵,빵,간식빵,search_in_item,80,316,166
생생감자칩,생생감자칩,109166,PB)생생감자칩페퍼솔트60g,과자>스낵류>감자스낵,과자,스낵류,search_in_item,80,316,158
키움,키움,124682,KBO)삼립키움히어로즈자색고구마팡100g,빵>간식빵>캐릭터빵,빵,간식빵,search_in_item,80,316,159
몬텔,몬텔,125808,나라)몬텔레나스탠딩저니나파샤도네이750ml,양주와인>와인>화이트,양주와인,와인,search_in_item,80,314,179
안유성,안유성,124489,안유성)나폴리탄파스타230g,간식>냉장피자>파스타/그라탕,간식,냉장피자,item_startswith_search,90,314,112
케이크,케이크,123625,G)파스키에팬케이크280g,빵>간식빵>과자빵,빵,간식빵,search_in_item,80,314,221
츄파춥스,츄파춥스,119548,농심)1M츄파춥스사워벨트55g,과자>젤리류>수입젤리,과자,젤리류,search_in_item,80,313,236
씨앗호떡,씨앗호떡,125435,KBO)롯데자이언츠씨앗호떡빵97g,빵>간식빵>캐릭터빵,빵,간식빵,search_in_item,80,308,131
소비뇽,소비뇽,128117,1000 스토리즈 카베르네소비뇽,양주와인>와인>레드,양주와인,와인,search_in_item,80,307,255
레어,레어,125164,발베니30년레어메리지,양주와인>양주>위스키,양주와인,양주,search_in_item,80,306,160
소비뇽블랑,소비뇽블랑,123535,9 라이브스 리저브 소비뇽 블랑,양주와인>와인>화이트,양주와인,와인,search_in_item,80,304,195
농심,농심,119548,농심)1M츄파춥스사워벨트55g,과자>젤리류>수입젤리,과자,젤리류,item_startswith_search,90,300,126
동원,동원,141489,동원)고등어캔300g,가공식품>캔>수산캔,가공식품,캔,item_startswith_search,90,300,47
교통카드,교통카드,106166,이즐)기본형교통카드(K패스),서비스 상품>일반서비스>교통카드판매,서비스 상품,일반서비스,search_in_item,80,299,173
프로야구콜렉션카드,프로야구 콜렉션카드,128207,KBO)2025프로야구콜렉션카드플러스,문구/완구>일반완구>일반완구,문구/완구,일반완구,search_in_item,80,299,15
생생우동,생생우동,132171,농심)생생우동253g,면>봉지면>숙면/건면,면,봉지면,search_in_item,80,296,158
느린마을,느린마을,180697,배상면)느린마을늘봄막걸리750ml,전통주>막걸리>살균막걸리,전통주,막걸리,search_in_item,80,295,192
그릭,그릭,128155,구르메)FAGE무지방그릭요거트허니150g,유음료>요구르트>떠먹는요구르트,유음료,요구르트,search_in_item,80,294,187
티처스,티처스,125537,티처스 정승제T 문구세트,문구/완구>기타문구>팬시,문구/완구,기타문구,item_startswith_search,90,291,71
새로,새로,126008,PB)자이언츠새로온팅클메론맛60g,과자>스낵류>옥수수스낵,과자,스낵류,search_in_item,80,289,181
신퀀티나,신퀀티나,126536,신퀀티나,양주와인>와인>레드,양주와인,와인,exact_norm,100,289,123
저지우유,저지우유,123101,G)오하요저지우유푸딩115g,디저트>젤리>푸딩,디저트,젤리,search_in_item,80,289,102
짬뽕,짬뽕,132298,PB)강릉교동반점짬뽕,면>용기면>라면(대형컵),면,용기면,search_in_item,80,288,187
이야기,이야기,083856,삼립)잘익은찰옥수수이야기110g,빵>간식빵>간식용케익,빵,간식빵,search_in_item,80,286,106
텍스트북,텍스트북,191828,CSR)텍스트북까버네750ml,양주와인>와인>레드,양주와인,와인,search_in_item,80,286,148
하겐,하겐,211136,하겐)그린티아몬드바80ml,아이스크림>고급>바,아이스크림,고급,item_startswith_search,90,285,125
조니워커블루,조니워커 블루,128076,조니워커블루500ml세트,양주와인>양주>위스키,양주와인,양주,item_startswith_search,90,282,116
기네스,기네스,115323,기네스 논알콜 440ml(24입),맥주>무알콜맥주>무알콜맥주(수입),맥주,무알콜맥주,item_startswith_search,90,281,140
나디아,나디아,191618,롯데)앙리마티스나디아(화이트)7,양주와인>와인>화이트,양주와인,와인,search_in_item,80,277,208
멜론,멜론,107133,G)보바티멜론배320ml,음료>차음료>기타차,음료,차음료,search_in_item,80,275,194
생드래프트비어,생드래프트비어,109131,신동엽)생드래프트비어500ml캔,맥주>국산맥주>수제맥주,맥주,국산맥주,search_in_item,80,275,113
지허,지허,109710,금양)지허발란스라파우라리저브소블에디션,양주와인>와인>화이트,양주와인,와인,search_in_item,80,275,115
도그,도그,109616,PB)착한핫도그75g,냉동>조리냉동>냉동간식류,냉동,조리냉동,search_in_item,80,271,129
하이직,하이직,191318,하이직모나폴750ml,양주와인>와인>스파클링(샴페인),양주와인,와인,item_startswith_search,90,271,162
부대볶음,부대볶음,124533,롯데)맛장우맛자랑 부대볶음,미반>도시락>도시락,미반,도시락,search_in_item,80,270,85
일품진로,일품진로,180762,진로)일품진로1924 375ml,전통주>소주>증류식소주,전통주,소주,search_in_item,80,270,109
파스타,파스타,106463,MDS)NEW미트파스타230g,간식>냉장피자>파스타/그라탕,간식,냉장피자,search_in_item,80,270,193
비빔면,비빔면,132666,농심)배홍동비빔면(4입),면>봉지면>비빔/볶음면,면,봉지면,search_in_item,80,269,171
햇반,햇반,220308,CJ)둥근햇반210g,가공식품>가공미반류>즉석밥,가공식품,가공미반류,search_in_item,80,269,203
감자칩,감자칩,107542,PB)k리그허니황치즈감자칩60g,과자>스낵류>감자스낵,과자,스낵류,search_in_item,80,268,165
바스켓팝콘,바스켓 팝콘,124435,PB)바스켓팝콘,과자>스낵류>옥수수스낵,과자,스낵류,search_in_item,80,267,133
뿌이야트,뿌이야트,192500,빈티지)니콜라스뿌이야트(벚꽃),양주와인>와인>스파클링(샴페인),양주와인,와인,search_in_item,80,266,178
무학,무학,192580,무학)드보뀌베D 750ml,양주와인>와인>스파클링(샴페인),양주와인,와인,item_startswith_search,90,264,132
제주우유,제주우유,041426,제주우유생크림빵130g,디저트>냉장베이커리>냉장빵,디저트,냉장베이커리,item_startswith_search,90,262,64
후와,후와,105770,시원)후와토로리치생초콜릿40g,디저트>냉동디저트>냉동빵,디저트,냉동디저트,search_in_item,80,261,120
디저트39,디저트39,123315,디저트39)저당슈크림모나카,아이스크림>노벨티>모나카,아이스크림,노벨티,item_startswith_search,90,260,154
바크씬,바크씬,105812,PB)아몬드바크씬80g,과자>초콜릿>봉지초콜릿,과자,초콜릿,search_in_item,80,260,96
달걀,달걀,094108,세븐팜)신선한1등급달걀(10입),신선>수축산/계란>계란,신선,수축산/계란,search_in_item,80,259,148
샤또뽕떼까네,샤또뽕떼까네,105742,우진)샤또뽕떼까네19,양주와인>와인>레드,양주와인,와인,search_in_item,80,258,40
콩나물,콩나물,123935,CJ)아삭안심콩나물180g,신선>야채>두부/콩나물,신선,야채,search_in_item,80,258,129
글로,글로,128309,글로브)달콤바삭보리과자84g,과자>스낵류>전통스낵,과자,스낵류,item_startswith_search,90,257,89
김치,김치,129316,2분삼겹김치찌개,미반>도시락>기타,미반,도시락,search_in_item,80,256,200
지비,지비,105748,지비)귀달베르토750ml,양주와인>와인>레드,양주와인,와인,item_startswith_search,90,256,98
플라네타,플라네타,114396,플라네타 알라스트로750ml,양주와인>와인>화이트,양주와인,와인,item_startswith_search,90,256,112
나쵸,나쵸,107452,PB)불불나쵸칩70g,과자>스낵류>옥수수스낵,과자,스낵류,search_in_item,80,254,176
앨런,앨런,192634,지비)앙리마티스앨런스콧쇼비뇽,양주와인>와인>화이트,양주와인,와인,search_in_item,80,254,117
끌레도르,끌레도르,150976,끌레도르)베리믹스바90ml,아이스크림>노벨티>바,아이스크림,노벨티,item_startswith_search,90,252,107
티머니,티머니,107294,티머니)기후동행카드_ver2(해치),서비스 상품>일반서비스>교통카드판매,서비스 상품,일반서비스,item_startswith_search,90,252,111
알밤,알밤,124931,PB)바밤바알밤초콜릿16g,과자>초콜릿>볼초콜릿,과자,초콜릿,search_in_item,80,251,79
진라면,진라면,210345,오뚜기)진라면매운맛봉지,면>봉지면>라면,면,봉지면,search_in_item,80,250,174
콜라,콜라,107747,G)파스키에팡오쇼콜라270g,빵>간식빵>과자빵,빵,간식빵,search_in_item,80,248,215
소금빵,소금빵,601353,농심)빵부장소금빵55g,과자>스낵류>일반스낵,과자,스낵류,search_in_item,80,246,106
피자,피자,123545,29피자벅,조리빵>햄버거>햄버거,조리빵,햄버거,search_in_item,80,246,148
얼음,얼음,105291,25년)얼음컵(벤티),즉석음료>얼음>컵얼음,즉석음료,얼음,search_in_item,80,245,164
초밥,초밥,109625,"3,900유부초밥&치킨샐러드",미반>초밥류>유부초밥,미반,초밥류,search_in_item,80,245,117
제육,제육,126017,제육열무비빔밥,미반>도시락>기타,미반,도시락,item_startswith_search,90,242,64
카네,카네,108988,MZ)밀카네잎클로버패키지,과자>비스킷류>행사상품,과자,비스킷류,search_in_item,80,241,89
옥수수이야기,옥수수이야기,083856,삼립)잘익은찰옥수수이야기110g,빵>간식빵>간식용케익,빵,간식빵,search_in_item,80,240,104
까바,까바,191659,무학)보히가스까바브룻750ml,양주와인>와인>스파클링(샴페인),양주와인,와인,search_in_item,80,239,164
덴마크,덴마크,061520,덴마크)대니쉬우유900ml*2입,유음료>흰우유>흰우유(대),유음료,흰우유,item_startswith_search,90,239,137
카티아,카티아,191617,롯데)앙리마티스카티아(레드)750,양주와인>와인>레드,양주와인,와인,search_in_item,80,239,194
대파크래커,대파크래커,107409,G)대파크래커80g,과자>비스킷류>크래커,과자,비스킷류,search_in_item,80,238,95
도리토스,도리토스,117150,롯데)도리토스갈비천왕84g,과자>스낵류>옥수수스낵,과자,스낵류,search_in_item,80,237,129
핫식스,핫식스,200844,칠성)핫식스250ml,음료>기능성드링크>에너지음료,음료,기능성드링크,search_in_item,80,237,150
고구마,고구마,181007,고구마소주난슈덴라쿠900ml,전통주>기타전통주>중국/일본주,전통주,기타전통주,item_startswith_search,90,236,163
농구,농구,123694,KBL농구카드2025(1박스),문구/완구>일반완구>일반완구,문구/완구,일반완구,search_in_item,80,236,17
몬스터,몬스터,129318,몬스터3단치킨버거,조리빵>햄버거>햄버거,조리빵,햄버거,item_startswith_search,90,236,123
훗카이도,훗카이도,108698,엔제이)훗카이도바나나카스테라,빵>간식빵>간식용케익,빵,간식빵,search_in_item,80,236,108
야구카드,야구카드,107512,KBO)야구카드바인더북,문구/완구>일반완구>일반완구,문구/완구,일반완구,search_in_item,80,235,94
닛카,닛카,133176,FJ)닛카미야기쿄싱글몰트700ml,양주와인>양주>위스키,양주와인,양주,search_in_item,80,233,170
홀그레인,홀그레인,123619,홀그레인머스타드닭가슴살김밥,미반>김밥>말이김밥,미반,김밥,item_startswith_search,90,233,148
도쿄브레드,도쿄 브레드,120103,제스트)도쿄브레드메론빵,빵>간식빵>과자빵,빵,간식빵,search_in_item,80,232,65
허쉬,허쉬,601670,롯데)허쉬너겟밀크56g,과자>초콜릿>봉지초콜릿,과자,초콜릿,search_in_item,80,232,150
러셀,러셀,123090,러셀 리저브 10년,양주와인>양주>위스키,양주와인,양주,item_startswith_search,90,230,148
부르봉,부르봉,601571,부르봉)랑그드샤블란츄78g,과자>비스킷류>쿠키,과자,비스킷류,item_startswith_search,90,230,134
시원,시원,117107,시원)마키아또누가(딸기)80g,과자>캔디류>봉지캔디,과자,캔디류,item_startswith_search,90,227,69
삼양라면,삼양라면,129385,삼양)삼양라면1963번들,면>봉지면>라면,면,봉지면,search_in_item,80,226,127
박은영,박은영,124067,박은영)마라마파두부덮밥380g,냉장>냉장간편식>냉장밥,냉장,냉장간편식,item_startswith_search,90,225,60
랜더스,랜더스,124683,KBO)삼립SSG랜더스소금버터우주선빵85g,빵>간식빵>캐릭터빵,빵,간식빵,search_in_item,80,224,102
스프라이트,스프라이트,160597,코카)스프라이트250ml,음료>탄산음료>사이다(소),음료,탄산음료,search_in_item,80,224,126
39,39,109729,"3,900김치피자탕수육",미반>푸드 간편식>안주/반찬,미반,푸드 간편식,item_startswith_search,90,223,56
kbl,kbl,123694,KBL농구카드2025(1박스),문구/완구>일반완구>일반완구,문구/완구,일반완구,item_startswith_search,90,223,66
이클립스,이클립스,117266,마즈)이클립스딸기31g,과자>캔디류>기능성캔디,과자,캔디류,search_in_item,80,222,157
보름달,보름달,083834,삼립)생크림보름달80g,빵>간식빵>간식용케익,빵,간식빵,search_in_item,80,219,110
금양,금양,190335,금양)1865까베르네쇼비뇽,양주와인>와인>레드,양주와인,와인,item_startswith_search,90,218,108
투핸즈,투핸즈,114678,투핸즈 릴리스 가든 750ml,양주와인>와인>레드,양주와인,와인,item_startswith_search,90,218,135
닭강정,닭강정,124134,닭강정김밥,미반>김밥>말이김밥,미반,김밥,item_startswith_search,90,217,123
블랙,블랙,132793,블랙바틀10년700ml,양주와인>양주>위스키,양주와인,양주,item_startswith_search,90,217,147
카스,카스,123600,카스 프레쉬 350ml캔(12입)*전용잔 2개,맥주>수입맥주>캔맥주(소),맥주,수입맥주,item_startswith_search,90,217,169
피카츄냐냐,피카츄냐냐,125374,PB)자이언츠피카츄냐냐71g,과자>스낵류>옥수수스낵,과자,스낵류,search_in_item,80,216,68
불짜계치,불짜계치,109253,PB)불짜계치(6인분)745g,면>용기면>비빔/볶음면,면,용기면,search_in_item,80,215,64
kt,Kt,323707,KT엠모바일)실용유심,서비스 상품>일반서비스>MVNO,서비스 상품,일반서비스,item_startswith_search,90,214,91
벚꽃,벚꽃,106117,G)라무네소다벚꽃에디션,음료>탄산음료>사이다(중),음료,탄산음료,search_in_item,80,213,170
비틀즈,비틀즈,124419,오리온)뉴비틀즈57g,과자>캔디류>소프트캔디,과자,캔디류,search_in_item,80,213,121
지파이,지파이,128349,대왕지파이,즉석 식품>즉석치킨(삭제예정)>조각류_삭제예정,즉석 식품,즉석치킨(삭제예정),search_in_item,80,213,45
마이쮸,마이쮸,104379,크라운)마이쮸딸기(용기),과자>캔디류>소프트캔디,과자,캔디류,search_in_item,80,212,119
호떡,호떡,125435,KBO)롯데자이언츠씨앗호떡빵97g,빵>간식빵>캐릭터빵,빵,간식빵,search_in_item,80,211,105
불닭치즈,불닭치즈,108543,불닭치즈소시지김밥,미반>김밥>말이김밥,미반,김밥,item_startswith_search,90,208,59
초코파이,초코파이,129953,롯데)생초코파이59g(냉장),디저트>냉장베이커리>냉장빵,디저트,냉장베이커리,search_in_item,80,208,143
핫도그,핫도그,109616,PB)착한핫도그75g,냉동>조리냉동>냉동간식류,냉동,조리냉동,search_in_item,80,207,102
드래프트,드래프트,170805,기네스드래프트440ml24입,맥주>수입맥주>캔맥주(중),맥주,수입맥주,search_in_item,80,205,155
열라면,열라면,132835,PB)#대파열라면큰컵,면>용기면>라면(대형컵),면,용기면,search_in_item,80,205,122
녹차,녹차,202595,PB)NEW제주녹차500ml,음료>차음료>녹차,음료,차음료,search_in_item,80,204,140
뽀므리,뽀므리,191500,뽀므리브뤼로얄750,양주와인>와인>레드,양주와인,와인,item_startswith_search,90,203,89
샤또도작,샤또 도작,105745,우진)샤또도작21,양주와인>와인>레드,양주와인,와인,search_in_item,80,203,62
쿠키,쿠키,127203,PB)계란쿠키100g,과자>스낵류>일반스낵,과자,스낵류,search_in_item,80,203,159
타케츠루,타케츠루,124225,타케츠루 퓨어몰트,양주와인>양주>위스키,양주와인,양주,item_startswith_search,90,203,130
가나,가나,113190,G)가나프리미엄프랄린헤이즐넛49g,과자>초콜릿>볼초콜릿,과자,초콜릿,search_in_item,80,201,129
샤또뽕떼,샤또 뽕떼,105742,우진)샤또뽕떼까네19,양주와인>와인>레드,양주와인,와인,search_in_item,80,201,74
아이셔,아이셔,109174,오리온)아이셔샤베트젤리72g,과자>젤리류>국산젤리,과자,젤리류,search_in_item,80,199,125
제임슨,제임슨,109929,제임슨 블랙배럴 700ml,양주와인>양주>위스키,양주와인,양주,item_startswith_search,90,199,108
짜슐랭,짜슐랭,132730,오뚜기)짜슐랭봉지,면>봉지면>비빔/볶음면,면,봉지면,search_in_item,80,199,89
단백질,단백질,601580,PB)단백질바(베리)50g,과자>프로틴/시리얼>영양바류,과자,프로틴/시리얼,search_in_item,80,198,155
샤도네이,샤도네이,129626,7P)요세미티로드샤도네이750ml,양주와인>와인>화이트,양주와인,와인,search_in_item,80,198,127
딸기샌드,딸기샌드,129938,딸기샌드위치,조리빵>샌드위치>기타 ,조리빵,샌드위치,item_startswith_search,90,197,56
포카칩,포카칩,106872,오리온)포카칩스윗치즈60g,과자>스낵류>감자스낵,과자,스낵류,search_in_item,80,196,130
라파우라,라파우라,123538,라파우라 스프링스 소비뇽 블랑,양주와인>와인>화이트,양주와인,와인,item_startswith_search,90,194,133
르플레브,르플레브,123421,빈티지)올리비에르플레브뀌베마고21/22,양주와인>와인>레드,양주와인,와인,search_in_item,80,194,95
식빵,식빵,106977,롯데)미니찰식빵330g,빵>식빵>식빵,빵,식빵,search_in_item,80,194,154
커피우유,커피우유,123573,PB)디저트39커피우유500ml,유음료>가공우유>커피우유,유음료,가공우유,search_in_item,80,194,63
프로틴,프로틴,106075,CJ)맛밤프로틴밤맛250mL,유음료>프로틴 음료>250ml 이상 ,유음료,프로틴 음료,search_in_item,80,194,126
홋카이도우유크림,홋카이도 우유크림,109497,미쓰이)홋카이도우유크림모찌56g,디저트>냉동디저트>냉동떡,디저트,냉동디저트,search_in_item,80,194,61
들기름,들기름,115809,그린)맛장우 쭈불들기름비빔밥,미반>도시락>도시락,미반,도시락,search_in_item,80,193,121
두유,두유,061660,매일)두유99.89 190ml,유음료>두유>팩두유,유음료,두유,search_in_item,80,192,124
렌틸,렌틸,123618,렌틸콩유부초밥&에그샐러드,미반>초밥류>유부초밥,미반,초밥류,item_startswith_search,90,192,142
제주,제주,170935,제주)곰표밀맥주500ml캔,맥주>국산맥주>수제맥주,맥주,국산맥주,item_startswith_search,90,192,55
니포짜노,니포짜노,124509,신세계)프레스코발디 니포짜노끼안티21,양주와인>와인>레드,양주와인,와인,search_in_item,80,191,71
크림롤,크림롤,123741,엠즈)39저당딸기크림롤105g,디저트>냉장베이커리>롤케익,디저트,냉장베이커리,search_in_item,80,191,44
만두,만두,123738,CJ)비비고군만두315g,냉동>냉동만두>봉지만두,냉동,냉동만두,search_in_item,80,189,153
감동란,감동란,071778,마루카네)감동란2입,냉장>냉장간식>삶은계란,냉장,냉장간식,search_in_item,80,188,127
파이리,파이리,600605,PB)파이리달콤한초코별82g,과자>스낵류>일반스낵,과자,스낵류,search_in_item,80,188,70
훈와리,훈와리,124789,드림)훈와리메이진벚꽃모찌26g,과자>스낵류>옥수수스낵,과자,스낵류,search_in_item,80,188,83
그릭요거트,그릭요거트,128155,구르메)FAGE무지방그릭요거트허니150g,유음료>요구르트>떠먹는요구르트,유음료,요구르트,search_in_item,80,187,150
드보뀌베d,드보뀌베D,192580,무학)드보뀌베D 750ml,양주와인>와인>스파클링(샴페인),양주와인,와인,search_in_item,80,187,65
베이글,베이글,106733,PB)오늘도쫄깃베이글무화과120g,간식>냉장간식>냉장간식,간식,냉장간식,search_in_item,80,186,77
누네띠네,누네띠네,117574,PB)누네띠네55g,과자>비스킷류>파이,과자,비스킷류,search_in_item,80,185,87
마루와유지,마루와유지,124784,에이스)마루와유지땅콩크림130g,건강/기호식품>쨈/꿀>쨈,건강/기호식품,쨈/꿀,search_in_item,80,185,78
말랑카우,말랑카우,117105,롯데)말랑카우(봉지),과자>캔디류>봉지캔디,과자,캔디류,search_in_item,80,183,119
비빔,비빔,140538,CJ)강된장보리비빔밥(컵반),가공식품>가공미반류>즉석컵밥,가공식품,가공미반류,search_in_item,80,183,115
안티,안티,191572,롯데)일그리지오끼안티750ml,양주와인>와인>레드,양주와인,와인,search_in_item,80,183,61
kbo프로야구콜렉션카드2025,KBO)프로야구 콜렉션카드2025,125514,KBO)프로야구 콜렉션카드2025,문구/완구>일반완구>일반완구,문구/완구,일반완구,exact_norm,100,182,8
버터스노우롤,버터스노우롤,124807,PB)버터스노우롤140g(4입),빵>간식빵>과자빵,빵,간식빵,search_in_item,80,182,26
사이다,사이다,109638,세븐브로이)팝업사이다라임355ml,음료>탄산음료>제로탄산,음료,탄산음료,search_in_item,80,182,132
하정우,하정우,126753,하정우)마키키쇼비뇽블랑750ml,양주와인>와인>화이트,양주와인,와인,item_startswith_search,90,181,132
마티스,마티스,062576,PB)앙리마티스바닐라라떼250ml,유음료>컵커피>300ml 미만,유음료,컵커피,search_in_item,80,180,143
초코우유,초코우유,123572,PB)디저트39초코우유500ml,유음료>가공우유>초코우유,유음료,가공우유,search_in_item,80,180,86
칼빔면,칼빔면,125909,칼빔면&김치왕교자,미반>푸드 간편식>조리면,미반,푸드 간편식,item_startswith_search,90,180,145
아사히,아사히,180074,아사히)아사히350ml캔,맥주>수입맥주>캔맥주(소),맥주,수입맥주,item_startswith_search,90,177,127
착한콘칩,착한콘칩,123307,PB)착한콘칩65g,과자>스낵류>옥수수스낵,과자,스낵류,search_in_item,80,176,124
프링글스,프링글스,105656,MQ)프링글스K숯불갈비100g,과자>스낵류>감자스낵,과자,스낵류,search_in_item,80,176,119
에그,에그,129004,에그마요묵은지김밥,미반>김밥>말이김밥,미반,김밥,item_startswith_search,90,175,70
컵밥,컵밥,140624,오뚜기)쇠고기미역국밥컵밥,가공식품>가공미반류>즉석컵밥,가공식품,가공미반류,search_in_item,80,175,72
블랙썬더,블랙썬더,601351,엔제이)블랙썬더146g,과자>초콜릿>봉지초콜릿,과자,초콜릿,search_in_item,80,174,85
고오스,고오스,083774,삼립)고오스초코케익80g,빵>간식빵>캐릭터빵,빵,간식빵,search_in_item,80,173,28
카레,카레,119083,MZ)밀카레오33g,과자>초콜릿>바초콜릿,과자,초콜릿,search_in_item,80,173,98
짱구,짱구,601556,미스티)짱구는못말려프렌즈1.5g,과자>캔디류>토이캔디,과자,캔디류,search_in_item,80,172,106
엉쥬르드,엉쥬르드,107201,신세계)앙드레끌루에엉쥬르드750ml,양주와인>와인>스파클링(샴페인),양주와인,와인,search_in_item,80,171,80
파니니,파니니,105978,파니니)EPL플러스 축구카드_H,문구/완구>일반완구>일반완구,문구/완구,일반완구,item_startswith_search,90,171,63
홋카이도,홋카이도,109497,미쓰이)홋카이도우유크림모찌56g,디저트>냉동디저트>냉동떡,디저트,냉동디저트,search_in_item,80,170,63
니카,니카,107753,K리그산리오)산리오파니니카드(랜덤),문구/완구>일반완구>일반완구,문구/완구,일반완구,search_in_item,80,169,125
레몬,레몬,192645,7P)스트롱사와레몬350ml,양주와인>하이볼>수입하이볼,양주와인,하이볼,search_in_item,80,168,136
무뚝뚝,무뚝뚝,115940,오리온)무뚝뚝감자칩60g,과자>스낵류>감자스낵,과자,스낵류,search_in_item,80,168,94
꿀밤,꿀밤,124549,PB)바밤바꿀밤생크림빵120g,디저트>냉장베이커리>냉장빵,디저트,냉장베이커리,search_in_item,80,167,28
아샷추,아샷추,124745,PB)산리오마이멜로디아샷추복숭아350ml,음료>차음료>홍차,음료,차음료,search_in_item,80,167,94
육개장,육개장,140890,CJ)비비고육개장500g,가공식품>상온간편식>레토르트 국탕찌개,가공식품,상온간편식,search_in_item,80,166,125
크리스탈,크리스탈,129031,크리스탈)더피플스쇼비뇽블랑750ml,양주와인>와인>화이트,양주와인,와인,item_startswith_search,90,166,97
더커진,더커진,071880,더커진국물떡볶이300g,냉장>냉장간편식>냉장떡볶이,냉장,냉장간편식,item_startswith_search,90,165,57
버터,버터,124932,버터치킨카레덮밥,미반>도시락>기타,미반,도시락,item_startswith_search,90,165,129
11찬,11찬,012679,11찬 도시락,미반>도시락>기타,미반,도시락,item_startswith_search,90,162,32
도쿠시마,도쿠시마,125843,이스타)도쿠시마라면큰컵,면>용기면>라면(대형컵),면,용기면,search_in_item,80,162,109
앙리지로,앙리지로,129752,크리스탈)앙리지로 퓌드센MV20,양주와인>와인>스파클링(샴페인),양주와인,와인,search_in_item,80,162,78
닭다리,닭다리,108682,PB)착한통닭다리(매콤),냉장>냉장안주>치킨안주,냉장,냉장안주,search_in_item,80,161,117
하이네켄,하이네켄,123235,하이네켄 5L 케그(2입),맥주>수입맥주>캔맥주(중),맥주,수입맥주,item_startswith_search,90,161,63
카네이션,카네이션,125044,농협)25년 감사장 한송이카네이션,서비스 상품>기타>카네이션,서비스 상품,기타,search_in_item,80,160,80
